id,domain,question,option1,option2,option3,option4,correctAnswerIndex,rationale
1,D1,hello,Immediately report the control failure to the IT steering committee.,Recommend the removal of the control due to lack of adherence.,Discuss the finding with management to confirm the facts and potential impact.,"Develop and implement a new, easier-to-follow control.",2,Confirming the facts and potential impact with management is the required step to ensure factual accuracy and a shared understanding of the severity before reporting formal findings.
2,D1,An IS auditor is planning an audit of the accounts payable system. Which of the following risk factors should receive the HIGHEST priority during the risk-based audit planning stage?,The system uses a legacy operating system that is no longer patched.,The cost to replace the system is prohibitively high.,"The system is managed by two highly-trained, long-term employees.",The system is located in an accessible part of the data center.,0,"The use of a legacy, unpatched operating system poses a significant vulnerability that could lead to a major security breach or system failure, making it a high-priority risk factor."
3,D1,Control Self-Assessment (CSA) is a valuable tool for management because its primary objective is to:,Replace the need for regular external audits.,Provide an independent opinion on financial statements.,Leverage the internal audit function by shifting some control monitoring to functional areas.,Validate adherence to internal logical access policies and procedures.,2,"The primary objective of CSA is to leverage the audit function by shifting some continuous monitoring responsibilities to the functional business areas, empowering employees to manage their own controls."
4,D1,An IS auditor is performing a continuous audit on financial transactions. Which of the following is the auditor MOST likely to use?,Attribute sampling to test control effectiveness.,Embedded audit modules (EAM) or monitoring software.,Interviews with the accounting department manager.,Random selection of paper documentation for manual review.,1,"Embedded Audit Modules (EAM) or continuous monitoring tools are the most effective way to audit transactions in real-time or near real-time, which is the core of continuous auditing."
5,D1,"When determining whether an IS audit finding is significant enough to be included in the final report, the IS auditor should primarily consider the:",Cost and complexity of implementing the recommended control.,Likelihood and business impact of the risk associated with the finding.,Seniority of the person responsible for the control failure.,Time and effort spent by the auditor on identifying the issue.,1,The significance of a finding is based on the potential likelihood and business impact of the associated risk; all other factors are secondary to this determination.
6,D1,An IS auditor selects every 10th transaction record for testing. This is an example of which type of sampling method?,Judgmental sampling.,Statistical sampling.,Monetary unit sampling (MUS).,Variable sampling.,1,"Selecting records using a systematic approach like every Nth record is a form of systematic random sampling, which falls under the broader category of statistical sampling."
7,D1,The IS auditor is required to follow up on a previous audit finding. What is the auditor's PRIMARY responsibility in the follow-up process?,To ensure that management has accepted the original risk identified.,To re-perform the original control test to ensure the control is operating effectively.,To verify that management's implemented corrective actions have mitigated the risk.,"To recommend new, alternative controls if management's actions fail.",2,The primary responsibility is to verify that management's corrective actions have been implemented and effectively mitigated the risk identified in the original finding.
8,D1,What is the PRIMARY benefit of using the Control Self-Assessment (CSA) method via facilitated workshops?,It allows the internal audit team to bypass the need for control testing.,It increases employee knowledge and understanding of the business risks they face.,It ensures the independence of the audit function.,It validates technical compliance with security standards.,1,"CSA, especially through workshops, engages employees, which directly increases their knowledge and understanding of the business risks they own."
9,D1,"When using Attribute Sampling (or compliance testing), the IS auditor's main objective is to:",Estimate the monetary value of errors in the account balance.,Determine whether the control being tested is operating effectively.,Measure the extent of system downtime over a period.,Predict the total risk exposure of the entire IS environment.,1,"Attribute sampling (compliance testing) is used to conclude on the operating effectiveness (yes/no, compliant/non-compliant) of an internal control."
10,D1,What is the purpose of the engagement letter in an IS audit?,To define the auditor's technical testing procedures.,"To formally document the scope, objectives, and time frame of a specific audit.",To replace the need for the IS Audit Charter.,To provide the final audit opinion to the Board.,1,"The engagement letter is used to formally communicate the specifics of a single, defined audit, including its scope, objectives, and planned time frame."
